Company,dReceievedDate,Isweekday,Isweekend,Country,status,Processed,ProcessedDate,Source,Currency,PostageCosts,Subtotal,PostageCostExTax,CountryTaxRate,Total,Tax,OrderItemSKU,OrderItemTitle,ItemCategory,OrderItemQuantity,ProductSalePrice,OrderItemTaxRate,OrderItemCostExTax,OrderItemCostIncTax,TotalAfterExComsion,DispatchStockUnitCost,TotalWeight,SupPurchasePrice,Profit,Payment Method
251,3/28/2016,1,0,United Kingdom,PAID,TRUE,30/03/2016 21:59,website,GBP,0,12,0,0,12,0,2401_spuk,interlocking hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
252,3/30/2016,1,0,United Kingdom,PAID,TRUE,31/03/2016 21:26,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_2,Interlocking Hearts Cake Server Set,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
253,3/30/2016,1,0,United Kingdom,PAID,TRUE,31/03/2016 21:26,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_2,Interlocking Hearts Cake Server Set,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
254,3/31/2016,1,0,United Kingdom,PAID,TRUE,1/4/2016 21:26,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
255,4/7/2016,1,0,United Kingdom,PAID,TRUE,8/4/2016 20:44,website,GBP,19.99,15.61,19.99,0,35.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
256,4/8/2016,1,0,United Kingdom,PAID,TRUE,8/4/2016 20:39,website,GBP,0,12,0,0,12,0,2401_spuk,interlocking hearts design cake knife/server set,Default,1,12,0.826938776,12,12,9.923265306,0,0,9.8,0.123265306,Default
257,4/9/2016,0,1,United Kingdom,PAID,TRUE,12/4/2016 21:47,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
258,4/9/2016,0,1,United Kingdom,PAID,TRUE,12/4/2016 21:54,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
259,4/12/2016,1,0,United Kingdom,PAID,TRUE,12/4/2016 21:49,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
260,4/15/2016,1,0,United Kingdom,PAID,TRUE,19/04/2016 17:42,website,GBP,0,13.49,0,0,13.49,0,2401_guk,"interlocking hearts design cake knife/server set. A perfect gift for that wedding, baby shower, birthday",Default,1,13.49,0.826938776,13.49,13.49,11.15540408,0,0,9.8,1.355404082,Default
261,4/18/2016,1,0,United Kingdom,PAID,TRUE,19/04/2016 18:42,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_2,Interlocking Hearts Cake Server Set,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
262,4/19/2016,1,0,United Kingdom,PAID,FALSE,,website,GBP,3.99,15.61,3.99,0,19.6,0,2401_3,Wedding Cake Knife & Sever Set Embracing Hearts (EKA01049) Brand New & Boxed,Default,1,15.61,0.826938776,15.61,15.61,12.90851429,0,0,9.8,3.108514286,Default
